actor_1,actor_2,weight
Leonardo DiCaprio,Kate Winslet,2
Mark Rylance,Javier Bardem,1
Gary Oldman,Michael Keaton,1
Riz Ahmed,Ben Mendelsohn,2
Annette Bening,Mark Ruffalo,2
Brie Larson,Robin Wright,1
Mahershala Ali,Jennifer Lawrence,2
Natalie Portman,Joel Edgerton,3
Cate Blanchett,Michael Fassbender,1
Will Smith,Jeffrey Wright,1
Amy Adams,Robert Downey Jr,1
Steve Carell,Michael Shannon,1
Tom Hardy,Charlize Theron,1
Robert Downey Jr,Jeffrey Wright,1
Javier Bardem,Ralph Fiennes,1
Saoirse Ronan,Margot Robbie,1
Michael B. Jordan,Martin Freeman,1
Amy Adams,Ryan Gosling,1
Kyle Chandler,Michelle Williams,1
Robin Wright,Jonah Hill,1
Sam Rockwell,Evan Rachel Wood,1
Frances McDormand,Matt Damon,1
Oscar Isaac,Annette Bening,1
Jake Gyllenhaal,Reese Witherspoon,1
Keri Russell,Tom Cruise,1
Octavia Spencer,Michael Shannon,1
Denzel Washington,Chris Pine,1
David Oyelowo,Matt Damon,1
Jeffrey Wright,Janelle Monáe,1
Bob Odenkirk,Timothée Chalamet,1
Steve Carell,Julianne Moore,2
Alicia Vikander,Bradley Cooper,1
Tom Hanks,Charlize Theron,1
Joaquin Phoenix,Reese Witherspoon,2
Benedict Cumberbatch,Tom Hiddleston,4
Saoirse Ronan,Tilda Swinton,2
Brie Larson,Tilda Swinton,2
Denzel Washington,Idris Elba,1
Leonardo DiCaprio,Tom Hanks,1
Michael Fassbender,Rachel Weisz,1
Christian Bale,Julianne Moore,1
Idris Elba,Octavia Spencer,1
Idris Elba,Benedict Cumberbatch,2
Joaquin Phoenix,Jesse Plemons,1
Bradley Cooper,Matt Damon,1
Tom Hanks,Bob Odenkirk,1
Tom Hanks,Janelle Monáe,1
Christian Bale,Benedict Cumberbatch,1
Gary Oldman,Ben Mendelsohn,2
Octavia Spencer,Tilda Swinton,1
Ryan Gosling,Reese Witherspoon,1
Denzel Washington,Ryan Gosling,1
Natalie Portman,Reese Witherspoon,3
Carrie Coon,Bob Odenkirk,1
Tom Hardy,Riz Ahmed,1
Carrie Coon,Matthew Rhys,1
Octavia Spencer,Allison Janney,4
Samuel L. Jackson,Benedict Cumberbatch,2
Tom Hanks,Chris Pine,1
Samuel L. Jackson,Bradley Cooper,3
Woody Harrelson,Jeffrey Wright,3
Leonardo DiCaprio,Mark Ruffalo,1
Michelle Williams,Rachel Weisz,1
Meryl Streep,Denzel Washington,1
Tom Hanks,Matt Damon,2
Tom Hanks,Matthew Rhys,2
Meryl Streep,Chris Pine,1
Jessica Chastain,Kyle Chandler,1
Ryan Gosling,Michelle Williams,2
Annette Bening,Octavia Spencer,1
Kate Winslet,Lucas Hedges,1
Samuel L. Jackson,Will Smith,1
Jennifer Lawrence,Joel Edgerton,1
Cate Blanchett,Benedict Cumberbatch,5
Christian Bale,Joel Edgerton,1
Cate Blanchett,Nicole Kidman,1
Jeffrey Wright,Timothée Chalamet,1
Ralph Fiennes,Robert Downey Jr,1
Bradley Cooper,Letitia Wright,2
Lupita Nyong'o,Julianne Moore,1
Joel Edgerton,Adam Driver,1
Charlize Theron,Matt Damon,1
Gary Oldman,Julianne Moore,2
Ben Mendelsohn,Timothée Chalamet,1
Michael B. Jordan,David Oyelowo,1
Julianne Moore,Michelle Williams,3
Mark Rylance,Benedict Cumberbatch,1
Ryan Gosling,Kyle Chandler,1
Sterling K. Brown,Margot Robbie,1
Frances McDormand,Jessica Chastain,1
Meryl Streep,Benedict Cumberbatch,1
Viola Davis,Tom Cruise,1
David Oyelowo,Joel Edgerton,1
David Oyelowo,Lucas Hedges,1
Tom Cruise,Tilda Swinton,1
Ben Mendelsohn,Brie Larson,1
Hugh Jackman,Bob Odenkirk,1
Viola Davis,Jeffrey Wright,2
Amy Adams,Christian Bale,3
Benicio Del Toro,Marion Cotillard,1
Oscar Isaac,Javier Bardem,1
Steve Carell,Nicole Kidman,1
Mahershala Ali,Tilda Swinton,1
Viola Davis,Paul Dano,2
Nicole Kidman,Chiwetel Ejiofor,1
Joel Edgerton,Taraji P. Henson,1
Claire Foy,Benedict Cumberbatch,1
Matt Damon,Allison Janney,1
Natalie Portman,Letitia Wright,1
Brie Larson,Letitia Wright,1
Cate Blanchett,Natalie Portman,2
Ryan Gosling,Annette Bening,1
Frances McDormand,Josh Brolin,1
Hugh Jackman,Kate Winslet,2
Chris Pine,Will Smith,1
Michelle Williams,Lucas Hedges,1
Joaquin Phoenix,Josh Brolin,1
Carrie Coon,Daniel Kaluuya,1
Jessica Chastain,Emma Stone,1
Hugh Jackman,Chris Pine,1
Michael Fassbender,Benedict Cumberbatch,1
Nicole Kidman,Tom Cruise,4
Leonardo DiCaprio,Woody Harrelson,1
Ryan Gosling,Robert Downey Jr,1
Bradley Cooper,Tom Hiddleston,2
Christian Bale,Reese Witherspoon,1
Paul Dano,Taraji P. Henson,1
Hugh Jackman,Rachel Weisz,1
Mark Rylance,Jesse Plemons,1
Josh Brolin,Jonah Hill,1
Riz Ahmed,Benedict Cumberbatch,1
Jessica Chastain,Andrew Garfield,1
Steve Carell,Mark Ruffalo,2
Amy Adams,Julianne Moore,2
Tom Hanks,Julianne Moore,1
David Oyelowo,Bryan Cranston,1
Matt Damon,Jeffrey Wright,1
Timothée Chalamet,Lucas Hedges,1
Christian Bale,Matt Damon,2
Marion Cotillard,Tom Hiddleston,2
Naomie Harris,Matthew Rhys,1
Amy Adams,Gary Oldman,1
Nicole Kidman,Lucas Hedges,1
Mahershala Ali,Jeffrey Wright,2
Samuel L. Jackson,Joel Edgerton,2
Octavia Spencer,Kumail Nanjiani,1
Meryl Streep,Matthew Rhys,1
Gary Oldman,Samuel L. Jackson,3
Tom Cruise,Paul Dano,1
LaKeith Stanfield,Tilda Swinton,2
David Oyelowo,Michael Stuhlbarg,1
Hugh Jackman,Allison Janney,1
Meryl Streep,Gary Oldman,1
Margot Robbie,Allison Janney,2
Tom Hardy,Adam Driver,1
Tom Hanks,Mark Rylance,1
Julianne Moore,Chiwetel Ejiofor,1
Natalie Portman,Robert Downey Jr,1
Meryl Streep,Hailee Steinfeld,1
Chiwetel Ejiofor,Joel Edgerton,1
Benicio Del Toro,Robert Downey Jr,2
Idris Elba,Will Smith,1
Alicia Vikander,Rachel Weisz,1
Ben Mendelsohn,Marion Cotillard,1
Gina Rodriguez,Evan Rachel Wood,1
Denzel Washington,Jeffrey Wright,1
Saoirse Ronan,Bob Odenkirk,1
Leonardo DiCaprio,Charlize Theron,1
Leonardo DiCaprio,Joel Edgerton,1
Oscar Isaac,Natalie Portman,1
Nicole Kidman,Tiffany Haddish,1
Michael Shannon,Robert Downey Jr,1
Samuel L. Jackson,Tom Hiddleston,5
Leonardo DiCaprio,Allison Janney,1
Joaquin Phoenix,Jonah Hill,1
Cate Blanchett,Michelle Williams,1
Christian Bale,Ben Mendelsohn,3
Josh Brolin,Letitia Wright,2
Cate Blanchett,Matthew Rhys,1
Benicio Del Toro,Timothée Chalamet,1
Meryl Streep,Allison Janney,1
Martin Freeman,Daniel Kaluuya,2
Woody Harrelson,Robert Downey Jr,2
Joel Edgerton,Timothée Chalamet,1
Jake Gyllenhaal,Ben Mendelsohn,1
Michael Stuhlbarg,Jesse Plemons,1
Frances McDormand,Gary Oldman,1
Michael Shannon,Kate Winslet,1
Joaquin Phoenix,Marion Cotillard,2
Octavia Spencer,Michael Stuhlbarg,1
Joaquin Phoenix,Kate Winslet,1
Julianne Moore,Matt Damon,1
Hugh Jackman,Jennifer Lawrence,3
Ryan Gosling,Christian Bale,1
Jake Gyllenhaal,Robert Downey Jr,1
Frances McDormand,Julianne Moore,1
Riz Ahmed,Michelle Williams,1
Ralph Fiennes,Jeffrey Wright,1
Sarah Paulson,Jeffrey Wright,1
Tom Hardy,Mark Rylance,1
Jesse Plemons,Tom Cruise,1
Amy Adams,Jesse Plemons,2
Sam Rockwell,Paul Dano,1
Tom Hanks,Ben Foster,1
Tom Hanks,Jesse Plemons,2
Viola Davis,Carrie Coon,1
Idris Elba,Charlize Theron,1
Natalie Portman,Tilda Swinton,1
Sam Rockwell,Jeffrey Wright,3
Meryl Streep,Jesse Plemons,2
Brie Larson,Hailee Steinfeld,1
Tom Hanks,Reese Witherspoon,1
Mark Rylance,Ben Mendelsohn,1
Oscar Isaac,Charlize Theron,1
Tom Hardy,Lupita Nyong'o,1
Jessica Chastain,Hailee Steinfeld,1
Joel Edgerton,Jesse Plemons,1
Mark Ruffalo,Michael Keaton,1
Michael Stuhlbarg,Timothée Chalamet,1
Jake Gyllenhaal,Steve Carell,1
Frances McDormand,Robert Downey Jr,2
Nicole Kidman,Joel Edgerton,1
Jake Gyllenhaal,Julianne Moore,1
Josh Brolin,Daniel Kaluuya,1
Jessica Chastain,Jennifer Lawrence,1
Tom Hardy,Idris Elba,1
Martin Freeman,Letitia Wright,1
Bradley Cooper,Jonah Hill,1
Brie Larson,Jonah Hill,1
Emma Stone,Julianne Moore,1
Woody Harrelson,Tatiana Maslany,1
Denzel Washington,Samuel L. Jackson,1
Robert Downey Jr,Tilda Swinton,1
Idris Elba,Chris Pine,1
Leonardo DiCaprio,Christian Bale,1
Jessica Chastain,David Oyelowo,3
Sam Rockwell,Matt Damon,2
Steve Carell,Paul Dano,1
Woody Harrelson,Ben Foster,2
Idris Elba,Matt Damon,1
David Oyelowo,Tom Cruise,1
Michael Stuhlbarg,Sarah Paulson,1
Idris Elba,Allison Janney,1
Kumail Nanjiani,Marion Cotillard,1
Benedict Cumberbatch,Letitia Wright,2
Annette Bening,Adam Driver,1
Cate Blanchett,Martin Freeman,4
Jessica Chastain,Sam Rockwell,1
Tilda Swinton,Paul Dano,1
Emma Stone,Woody Harrelson,3
Michelle Williams,Matt Damon,1
Matt Damon,Sarah Paulson,1
Viola Davis,Michael Keaton,1
Hugh Jackman,Ben Foster,1
Nicole Kidman,Bryan Cranston,1
Natalie Portman,Andrew Garfield,1
Octavia Spencer,Reese Witherspoon,1
Ryan Gosling,Sterling K. Brown,1
Christian Bale,Nicole Kidman,1
Annette Bening,Tom Hanks,1
Jennifer Lawrence,Jeffrey Wright,3
Brie Larson,Tiffany Haddish,1
Carrie Coon,Sarah Paulson,1
Bradley Cooper,Benedict Cumberbatch,2
Idris Elba,Samuel L. Jackson,3
Samuel L. Jackson,Josh Brolin,4
Oscar Isaac,Benicio Del Toro,2
Denzel Washington,Gary Oldman,1
Kyle Chandler,Jesse Plemons,1
Meryl Streep,Andrew Garfield,1
Michael Shannon,Andrew Garfield,1
Michael Shannon,Adam Driver,1
Meryl Streep,Mark Rylance,1
Mark Ruffalo,Tom Hiddleston,4
Hugh Jackman,Matt Damon,1
Michael Stuhlbarg,Kate Winslet,1
Mark Ruffalo,Hailee Steinfeld,1
Cate Blanchett,Ralph Fiennes,1
Michael Shannon,Bob Odenkirk,1
Kate Winslet,Marion Cotillard,1
Ben Mendelsohn,Mark Ruffalo,1
Josh Brolin,Timothée Chalamet,1
Lupita Nyong'o,Paul Dano,1
Michael Stuhlbarg,Josh Brolin,1
Octavia Spencer,Ralph Fiennes,1
Emma Stone,Steve Carell,2
Michael Fassbender,Chiwetel Ejiofor,1
Tilda Swinton,Adam Driver,1
Annette Bening,Samuel L. Jackson,3
Steve Carell,Marion Cotillard,2
Alicia Vikander,Matthew Rhys,1
Ben Mendelsohn,Letitia Wright,1
Michael Fassbender,Javier Bardem,1
Chiwetel Ejiofor,Paul Dano,1
Woody Harrelson,Robin Wright,1
Ryan Gosling,Natalie Portman,2
Claire Foy,LaKeith Stanfield,1
Steve Carell,Timothée Chalamet,1
Tatiana Maslany,Matthew Rhys,1
Tom Hiddleston,Hailee Steinfeld,1
Idris Elba,Letitia Wright,1
Chiwetel Ejiofor,Chris Pine,1
Marion Cotillard,Will Smith,1
Riz Ahmed,Matt Damon,1
Amy Adams,Allison Janney,1
Natalie Portman,Tom Hiddleston,3
Cate Blanchett,Saoirse Ronan,1
Jesse Plemons,Sam Rockwell,1
Robert Downey Jr,Rachel Weisz,1
Benicio Del Toro,Tom Hiddleston,2
Octavia Spencer,Kate Winslet,1
Robert Downey Jr,Marion Cotillard,1
Sam Rockwell,Martin Freeman,1
Sarah Paulson,Benedict Cumberbatch,1
